date,year,month,state,type,source,mwh,,,
Jul-01,2001,7,US-TOTAL,Total Electric Power Industry,Nuclear,69166040,,,
Jul-01,2001,7,US-TOTAL,Total Electric Power Industry,Hydroelectric Conventional,18079119,,,
Jul-01,2001,7,US-TOTAL,Total Electric Power Industry,Wind,634992,,,
Jul-01,2001,7,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,91994,,,
Jul-01,2001,7,US-TOTAL,Total Electric Power Industry,Wood and Wood Derived Fuels,3053179,,,
Jul-01,2001,7,US-TOTAL,Total Electric Power Industry,Geothermal,1178533,,,
Jul-01,2001,7,US-TOTAL,Total Electric Power Industry,Other Biomass,1285783,,,
Jul-01,2001,7,US-TOTAL,Total Electric Power Industry,Pumped Storage,-870786,,,
Jul-01,2001,7,US-TOTAL,Total Electric Power Industry,Other,1022165,,,
Jul-01,2001,7,US-TOTAL,Total Electric Power Industry,Total,357613700,,,
Aug-01,2001,8,US-TOTAL,Total Electric Power Industry,Coal,183116073,,,
Aug-01,2001,8,US-TOTAL,Total Electric Power Industry,Petroleum,14229426,,,
Aug-01,2001,8,US-TOTAL,Total Electric Power Industry,Natural Gas,78409804,,,
Aug-01,2001,8,US-TOTAL,Total Electric Power Industry,Other Gases,847690,,,
Aug-01,2001,8,US-TOTAL,Total Electric Power Industry,Nuclear,68389496,,,
Aug-01,2001,8,US-TOTAL,Total Electric Power Industry,Hydroelectric Conventional,18913768,,,
Aug-01,2001,8,US-TOTAL,Total Electric Power Industry,Wind,577206,,,
Aug-01,2001,8,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,85299,,,
Aug-01,2001,8,US-TOTAL,Total Electric Power Industry,Wood and Wood Derived Fuels,3178690,,,
Aug-01,2001,8,US-TOTAL,Total Electric Power Industry,Geothermal,1167238,,,
Aug-01,2001,8,US-TOTAL,Total Electric Power Industry,Other Biomass,1284821,,,
Aug-01,2001,8,US-TOTAL,Total Electric Power Industry,Pumped Storage,-714613,,,
Aug-01,2001,8,US-TOTAL,Total Electric Power Industry,Other,1047929,,,
Aug-01,2001,8,US-TOTAL,Total Electric Power Industry,Total,370532828,,,
Sep-01,2001,9,US-TOTAL,Total Electric Power Industry,Coal,154158317,,,
Sep-01,2001,9,US-TOTAL,Total Electric Power Industry,Petroleum,7342486,,,
Sep-01,2001,9,US-TOTAL,Total Electric Power Industry,Natural Gas,60181140,,,
Sep-01,2001,9,US-TOTAL,Total Electric Power Industry,Other Gases,767366,,,
Sep-01,2001,9,US-TOTAL,Total Electric Power Industry,Nuclear,63378451,,,
Sep-01,2001,9,US-TOTAL,Total Electric Power Industry,Hydroelectric Conventional,15256027,,,
Sep-01,2001,9,US-TOTAL,Total Electric Power Industry,Wind,490229,,,
Sep-01,2001,9,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,64803,,,
Sep-01,2001,9,US-TOTAL,Total Electric Power Industry,Wood and Wood Derived Fuels,2874169,,,
Sep-01,2001,9,US-TOTAL,Total Electric Power Industry,Geothermal,1139010,,,
Sep-01,2001,9,US-TOTAL,Total Electric Power Industry,Other Biomass,1201462,,,
Sep-01,2001,9,US-TOTAL,Total Electric Power Industry,Pumped Storage,-928405,,,
Sep-01,2001,9,US-TOTAL,Total Electric Power Industry,Other,1003811,,,
Sep-01,2001,9,US-TOTAL,Total Electric Power Industry,Total,306928866,,,
Oct-01,2001,10,US-TOTAL,Total Electric Power Industry,Coal,148930816,,,
Oct-01,2001,10,US-TOTAL,Total Electric Power Industry,Petroleum,6533933,,,
Oct-01,2001,10,US-TOTAL,Total Electric Power Industry,Natural Gas,56376441,,,
Oct-01,2001,10,US-TOTAL,Total Electric Power Industry,Other Gases,737007,,,
Oct-01,2001,10,US-TOTAL,Total Electric Power Industry,Nuclear,60460967,,,
Oct-01,2001,10,US-TOTAL,Total Electric Power Industry,Hydroelectric Conventional,15234503,,,
Oct-01,2001,10,US-TOTAL,Total Electric Power Industry,Wind,606829,,,
Oct-01,2001,10,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,20813,,,
Oct-01,2001,10,US-TOTAL,Total Electric Power Industry,Wood and Wood Derived Fuels,3046466,,,
Oct-01,2001,10,US-TOTAL,Total Electric Power Industry,Geothermal,1161727,,,
Oct-01,2001,10,US-TOTAL,Total Electric Power Industry,Other Biomass,1214638,,,
Oct-01,2001,10,US-TOTAL,Total Electric Power Industry,Pumped Storage,-615247,,,
Oct-01,2001,10,US-TOTAL,Total Electric Power Industry,Other,1024720,,,
Oct-01,2001,10,US-TOTAL,Total Electric Power Industry,Total,294733613,,,
Nov-01,2001,11,US-TOTAL,Total Electric Power Industry,Coal,144116998,,,
Nov-01,2001,11,US-TOTAL,Total Electric Power Industry,Petroleum,5930721,,,
Nov-01,2001,11,US-TOTAL,Total Electric Power Industry,Natural Gas,44490622,,,
Nov-01,2001,11,US-TOTAL,Total Electric Power Industry,Other Gases,698537,,,
Nov-01,2001,11,US-TOTAL,Total Electric Power Industry,Nuclear,62341711,,,
Nov-01,2001,11,US-TOTAL,Total Electric Power Industry,Hydroelectric Conventional,15412929,,,
Nov-01,2001,11,US-TOTAL,Total Electric Power Industry,Wind,470448,,,
Nov-01,2001,11,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,14289,,,
Nov-01,2001,11,US-TOTAL,Total Electric Power Industry,Wood and Wood Derived Fuels,2879107,,,
Nov-01,2001,11,US-TOTAL,Total Electric Power Industry,Geothermal,1157170,,,
Nov-01,2001,11,US-TOTAL,Total Electric Power Industry,Other Biomass,1191821,,,
Nov-01,2001,11,US-TOTAL,Total Electric Power Industry,Pumped Storage,-810802,,,
Nov-01,2001,11,US-TOTAL,Total Electric Power Industry,Other,1040391,,,
Nov-01,2001,11,US-TOTAL,Total Electric Power Industry,Total,278933942,,,
Dec-01,2001,12,US-TOTAL,Total Electric Power Industry,Coal,157402350,,,
Dec-01,2001,12,US-TOTAL,Total Electric Power Industry,Petroleum,6539071,,,
Dec-01,2001,12,US-TOTAL,Total Electric Power Industry,Natural Gas,47540861,,,
